1,works because reno doesn't become smug or sanctimonious towards the audience .
1,"the mood , look and tone of the film fit the incredible storyline to a t ."
0,"for this sort of thing to work , we need agile performers , but the proficient , dull sorvino has no light touch , and rodan is out of his league ."
1,a treat for its depiction on not giving up on dreams when you're a struggling nobody .
1,"a witty , trenchant , wildly unsentimental but flawed look at the ins and outs of modern moviemaking ."
1,i don't think most of the people who loved the 1989 paradiso will prefer this new version . but i do .
1,"a moody , multi-dimensional love story and sci-fi mystery , solaris is a thought-provoking , haunting film that allows the seeds of the imagination to germinate ."
1,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .
0,"all movie long , city by the sea swings from one approach to the other , but in the end , it stays in formula -- which is a waste of de niro , mcdormand and the other good actors in the cast ."
1,this submarine drama earns the right to be favorably compared to das boot .
1,allen shows he can outgag any of those young whippersnappers making moving pictures today .
0,"not a movie but a live-action agitprop cartoon so shameless and coarse , it's almost funny ."
0,even when crush departs from the 4w formula . . . it feels like a glossy rehash .
0,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold ."
1,steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .
0,"adolescents will be adequately served by the movie's sophomoric blend of shenanigans and slapstick , although the more lascivious-minded might be disappointed in the relative modesty of a movie that sports a 'topless tutorial service . '"
0,some like it hot on the hardwood proves once again that a man in drag is not in and of himself funny .
1,it's absolutely spooky how lillard channels the shagster right down to the original casey kasem-furnished voice .
0,"one of those movies where you walk out of the theater not feeling cheated exactly , but feeling pandered to , which , in the end , might be all the more infuriating ."
1,"impresses as a skillfully assembled , highly polished and professional adaptation . . . just about as chilling and unsettling as 'manhunter' was ."
1,"for 95 often hilarious minutes , [cho] riffs on the diciness of colonics , on straight versus gay personal ads , on how men would act if they had periods , and on the perils of a certain outré sexual practice ."
1,a stylish cast and some clever scripting solutions help chicago make the transition from stage to screen with considerable appeal intact .
0,it all seemed wasted like deniro's once promising career and the once grand long beach boardwalk .
1,"an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture ."
1,"for all the wit and hoopla , festival in cannes offers rare insight into the structure of relationships ."
1,a perfectly competent and often imaginative film that lacks what little lilo & stitch had in spades -- charisma .
0,there are moments of real pleasure to be found in sara sugarman's whimsical comedy very annie-mary but not enough to sustain the film .
1,". it's a testament to the film's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . there's a sheer unbridled delight in the way the story unfurls . . ."
1,"a playful iranian parable about openness , particularly the need for people of diverse political perspectives to get along despite their ideological differences ."
1,. . . manages to deliver a fair bit of vampire fun .
0,"my reaction in a word : disappointment . his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it ."
1,a compelling film .
1,those with a modicum of patience will find in these characters' foibles a timeless and unique perspective .
1,"me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects ."
1,sex is one of those films that aims to confuse .
0,a technical triumph and an extraordinary bore .
